Id,Last Name,First Name,Department,Office,x,y,zone,floor
76,Mullen,Boyd,Facilities,2350,113,8,6,2
77,Nant,Irene,Facilities,1110,22,8,1,1
78,Paredes,Raye,Facilities,1110,22,8,1,1
79,Scozzese,Dylan,Facilities,1110,22,8,1,1
80,Shipp,Caterina,Facilities,2340,133,8,6,2
81,Song,Thanh,Facilities,1070,8,66,1,1
82,Staley,Chi,Facilities,1110,22,8,1,1
83,Young,Patrick,Facilities,3230,8,30,3,3
84,Adair,Faviola,HR,3450,39,37,1,3
85,Beebe,Pamala,HR,3310,22,8,3,3
86,Ratigan,Padraic,HR,3460,39,25,3,3
87,Alcazar,Lucas,Information Technology,2165,137,103,7,2
88,Arlotti,Ilario,Information Technology,2570,101,75,7,2
89,Bagani,Luis,Information Technology,2580,113,85,7,2
90,Bagni,Sisto,Information Technology,2565,101,85,1,2
91,Baza,Isak,Information Technology,2145,97,103,7,2
92,Bello,Erminia,Information Technology,2610,139,75,7,2
93,Bergen,Linnea,Information Technology,2200,181,101,7,2
94,Calixto,Nils,Information Technology,2155,117,103,7,2
95,Coronado,Zena,Information Technology,2635,157,65,7,2
96,Faraldo,Raphale,Information Technology,2650,157,55,7,2
97,Flecha,Sven,Information Technology,2160,127,103,7,2
98,Florez,Sanna,Information Technology,2605,139,85,7,2
99,Lowery,Sharika,Information Technology,2615,132,75,7,2
100,Ovan,Isaia,Information Technology,2590,120,75,7,2
101,Sinagra,Spyro,Information Technology,2595,113,75,7,2
102,Solos,Celestina,Information Technology,2585,120,85,7,2
103,Unger,Jae,Information Technology,2640,164,65,7,2
104,Whelan,Cyrus,Information Technology,2600,132,85,7,2
105,Bartley,Doretha,Security,2170,152,103,3,2
106,Canada,Mi,Security,2170,152,103,3,2
107,Castellanos,Janene,Security,2170,152,103,3,2
108,Cocinaro,Hideki,Security,2170,152,103,3,2
109,Fusil,Stenig,Security,1010,159,8,7,1
110,Herrero,Kanon,Security,2170,152,103,3,2
111,Holiday,Summer,Security,2170,152,103,3,2
112,Kemp,Paulita,Security,2170,152,103,3,2
113,Lagos,Varja,Security,1020,179,8,8,1
114,Lea,Sherell,Security,2170,152,103,3,2
115,Nardi,Adalberto,Security,2170,152,103,3,2
116,Nespola,Jonas,Security,2170,152,103,3,2
117,Notaro,Mathias,Security,2170,152,103,3,2
118,Pherigo,Alcide,Security,1100,22,8,1,1
119,Resumir,Felix,Security,3410,27,73,3,3
120,Rhoads,Dong,Security,2170,152,103,3,2
121,Salvay,Selma,Security,2170,152,103,3,2
122,Shultz,Merna,Security,2170,152,103,3,2
123,Sowell,Xiomara,Security,2170,152,103,3,2
124,Vann,Edvard,Security,1090,8,10,1,1
125,Vollan,Mihalis,Security,2170,152,103,3,2
